County,Ccode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Merced,23,212258,218816,225351,231735,237180,242554,245338,248540,250538,252302,256721,259297,260867,262026,264419,266353
Modoc,24,9406,9350,9362,9501,9605,9565,9617,9525,9551,9646,9694,9509,9351,9145,9068,9056
Mono,25,12921,13224,13404,13352,13360,13474,13743,13678,13862,14008,14257,14422,14331,14067,14134,14077
Monterey,26,402990,407082,408977,409725,408731,405139,401831,402376,406022,410263,416373,420456,424788,426712,428475,430552
Napa,27,124565,126818,128744,130138,130387,130381,131440,132583,134093,135280,136759,137691,138538,139580,140405,140862
Nevada,28,92520,93715,94647,95606,96512,97250,97549,97794,98200,98591,98790,98701,98137,97938,98572,98676
Orange,29,2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,3015171,3049271,3078068,3104950,3126537,3149280
Placer,30,251012,263615,276907,290726,302841,312762,321934,329023,337568,343810,350021,356328,360263,365398,369217,372841
Plumas,31,20754,20820,20866,20957,21000,21010,20762,20667,20410,20169,19914,19719,19377,18895,18622,18427
Riverside,32,1558985,1616634,1687147,1771656,1856542,1931785,2012370,2075183,2109712,2146725,2201576,2234070,2261204,2286755,2316162,2345816
Sacramento,33,1229940,1266257,1301079,1328531,1348932,1360816,1369563,1381161,1394438,1408601,1421383,1433730,1444852,1457341,1474917,1493674
San Benito,34,53781,54644,55056,55198,54849,54647,54124,54072,54267,54436,55516,55977,56599,57239,57825,58216
San Bernardino,35,1718037,1760731,1799791,1846115,1899065,1943924,1974140,1992161,2003735,2013960,2040848,2060827,2073512,2082738,2099181,2115411
San Diego,36,2827366,2869672,2900355,2914702,2930007,2938375,2947289,2975742,3022116,3061203,3103212,3137156,3174335,3209768,3248877,3280850
San Francisco,37,777885,780865,772723,766160,761325,763016,768650,778673,791152,801922,805505,815650,828876,839572,850750,863010
San Joaquin,38,567885,591207,609041,626778,642898,656985,662812,668080,671692,677736,687127,694354,699593,702046,711579,722271
San Luis Obispo,39,247839,251462,253083,254674,256842,258615,260498,262770,266358,268145,269802,271058,274160,275696,278227,280077
San Mateo,40,707820,705621,697628,693057,690161,690078,690176,693849,703830,713617,719699,728344,739224,748661,757204,765055
Santa Barbara,41,399990,403164,405178,406810,407284,408079,408085,411243,415859,420356,424231,425453,429699,434601,439045,442229
Santa Clara,42,1684947,1688082,1669348,1663592,1663167,1675312,1691159,1712026,1740964,1765137,1786040,1812054,1837853,1866425,1891753,1916285
Santa Cruz,43,255835,256045,254531,253021,252356,251377,251616,253304,256520,260009,263147,264858,266340,268816,270861,273503
Shasta,44,163615,166408,170198,173202,174867,175615,176166,176548,177247,177279,177274,177588,177875,178397,178844,178314
Sierra,45,3574,3518,3482,3511,3430,3378,3424,3373,3320,3248,3220,3098,3067,3028,2972,2985
Siskiyou,46,44218,43908,43965,44287,44394,44641,44487,44465,44780,44788,44938,44615,44079,43532,43338,43254
Solano,47,396974,404209,408226,408409,409301,408181,408402,408243,408972,410290,413967,416342,419674,423659,429006,433409
Sonoma,48,460421,465293,465298,466489,466809,465938,465188,467356,473091,479479,484755,487421,489993,494073,498560,500863
Stanislaus,49,449471,463761,477469,487357,492613,500020,504651,507834,509032,511536,515145,517560,520424,523451,528015,533211
Sutter,50,79192,80138,82162,84671,86484,88764,91112,92959,93855,94366,94751,94482,94189,94507,94778,95282
Tehama,51,56170,56685,57380,58528,59571,60602,61587,62147,62648,62891,63559,63331,63212,62875,62801,63158
Trinity,52,12980,12859,13064,13210,13159,13440,13634,13648,13656,13762,13755,13685,13489,13427,13128,13094
Tulare,53,368627,373171,379568,388743,398226,407970,414921,422140,429283,436987,442969,446784,449779,452460,455138,457161
Tuolumne,54,54658,55253,55850,56513,56602,56788,56680,56339,56320,55845,55190,54830,54221,53997,53851,53615
Ventura,55,756506,766689,779489,788070,793994,794197,798183,800027,806353,815130,825097,830099,833516,838136,842297,845802
Yolo,56,169835,175337,180327,182954,185237,186269,189615,194339,197154,199791,201073,201954,204576,206292,208398,212037
Yuba,57,60372,61249,62100,62733,63742,66285,69272,70761,71773,71607,72348,72489,72774,73090,73533,74045
